Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,O.J. Howard (13425264),O.J. Howard,13425264,TE/FLEX,3900,TB@LAR 09/29/2019 04:05PM ET,TB,8.4
RB,Alexander Mattison (13424832),Alexander Mattison,13424832,RB/FLEX,3900,MIN@CHI 09/29/2019 04:25PM ET,MIN,4.5
WR,Hunter Renfrow (13425068),Hunter Renfrow,13425068,WR/FLEX,3800,OAK@IND 09/29/2019 01:00PM ET,OAK,7.7
RB,Kalen Ballage (13424834),Kalen Ballage,13424834,RB/FLEX,3800,LAC@MIA 09/29/2019 01:00PM ET,MIA,8.6
DST,Chargers  (13425424),Chargers,13425424,DST,3800,LAC@MIA 09/29/2019 01:00PM ET,LAC,11.8
TE,Trey Burton (13425266),Trey Burton,13425266,TE/FLEX,3800,MIN@CHI 09/29/2019 04:25PM ET,CHI,6
RB,Dion Lewis (13424838),Dion Lewis,13424838,RB/FLEX,3700,TEN@ATL 09/29/2019 01:00PM ET,TEN,5.7
RB,Ito Smith (13424840),Ito Smith,13424840,RB/FLEX,3700,TEN@ATL 09/29/2019 01:00PM ET,ATL,6.6
WR,A.J. Brown (13425078),A.J. Brown,13425078,WR/FLEX,3700,TEN@ATL 09/29/2019 01:00PM ET,TEN,6.8
RB,T.J. Yeldon (13424836),T.J. Yeldon,13424836,RB/FLEX,3700,NE@BUF 09/29/2019 01:00PM ET,BUF,0.1
DST,Patriots  (13425426),Patriots,13425426,DST,3700,NE@BUF 09/29/2019 01:00PM ET,NE,10.6
TE,Jack Doyle (13425268),Jack Doyle,13425268,TE/FLEX,3700,OAK@IND 09/29/2019 01:00PM ET,IND,8
WR,Paul Richardson Jr. (13425074),Paul Richardson Jr.,13425074,WR/FLEX,3700,WAS@NYG 09/29/2019 01:00PM ET,WAS,9.5
WR,Malik Turner (13425076),Malik Turner,13425076,WR/FLEX,3700,SEA@ARI 09/29/2019 04:05PM ET,SEA,1.6
WR,Taylor Gabriel (13425070),Taylor Gabriel,13425070,WR/FLEX,3700,MIN@CHI 09/29/2019 04:25PM ET,CHI,0.7
WR,Anthony Miller (13425072),Anthony Miller,13425072,WR/FLEX,3700,MIN@CHI 09/29/2019 04:25PM ET,CHI,6
DST,Jaguars  (13425425),Jaguars,13425425,DST,3700,JAX@DEN 09/29/2019 04:25PM ET,JAX,6.5
RB,Gus Edwards (13424842),Gus Edwards,13424842,RB/FLEX,3600,CLE@BAL 09/29/2019 01:00PM ET,BAL,5
WR,J.J. Nelson (13425086),J.J. Nelson,13425086,WR/FLEX,3600,OAK@IND 09/29/2019 01:00PM ET,OAK,9.7
WR,Cody Latimer (13425084),Cody Latimer,13425084,WR/FLEX,3600,WAS@NYG 09/29/2019 01:00PM ET,NYG,5.2
DST,Giants  (13425427),Giants,13425427,DST,3600,WAS@NYG 09/29/2019 01:00PM ET,NYG,5.3
RB,Chase Edmonds (13424844),Chase Edmonds,13424844,RB/FLEX,3600,SEA@ARI 09/29/2019 04:05PM ET,ARI,2.3
TE,Will Dissly (13425270),Will Dissly,13425270,TE/FLEX,3600,SEA@ARI 09/29/2019 04:05PM ET,SEA,12.4
WR,Cordarrelle Patterson (13425080),Cordarrelle Patterson,13425080,WR/FLEX,3600,MIN@CHI 09/29/2019 04:25PM ET,CHI,4.2
WR,DaeSean Hamilton (13425082),DaeSean Hamilton,13425082,WR/FLEX,3600,JAX@DEN 09/29/2019 04:25PM ET,DEN,4.4
RB,Dontrell Hilliard (13424846),Dontrell Hilliard,13424846,RB/FLEX,3500,CLE@BAL 09/29/2019 01:00PM ET,CLE,3.1
RB,Justice Hill (13424850),Justice Hill,13424850,RB/FLEX,3500,CLE@BAL 09/29/2019 01:00PM ET,BAL,1.7
WR,Damion Ratley (13425090),Damion Ratley,13425090,WR/FLEX,3500,CLE@BAL 09/29/2019 01:00PM ET,CLE,5.7
WR,Jakobi Meyers (13425096),Jakobi Meyers,13425096,WR/FLEX,3500,NE@BUF 09/29/2019 01:00PM ET,NE,2.2
WR,Jakeem Grant (13425088),Jakeem Grant,13425088,WR/FLEX,3500,LAC@MIA 09/29/2019 01:00PM ET,MIA,8.3
DST,Rams  (13425428),Rams,13425428,DST,3500,TB@LAR 09/29/2019 04:05PM ET,LAR,10.6
TE,Kyle Rudolph (13425272),Kyle Rudolph,13425272,TE/FLEX,3500,MIN@CHI 09/29/2019 04:25PM ET,MIN,6.1
WR,Rashard Higgins (13425100),Rashard Higgins,13425100,WR/FLEX,3400,CLE@BAL 09/29/2019 01:00PM ET,CLE,4.3
WR,Chris Moore (13425104),Chris Moore,13425104,WR/FLEX,3400,CLE@BAL 09/29/2019 01:00PM ET,BAL,0.1
TE,Vernon Davis (13425276),Vernon Davis,13425276,TE/FLEX,3400,WAS@NYG 09/29/2019 01:00PM ET,WAS,9.1
WR,David Moore (13425106),David Moore,13425106,WR/FLEX,3400,SEA@ARI 09/29/2019 04:05PM ET,SEA,3.3
WR,Jaron Brown (13425108),Jaron Brown,13425108,WR/FLEX,3400,SEA@ARI 09/29/2019 04:05PM ET,SEA,3.3
RB,Dare Ogunbowale (13424854),Dare Ogunbowale,13424854,RB/FLEX,3400,TB@LAR 09/29/2019 04:05PM ET,TB,5.3
WR,Javon Wims (13425098),Javon Wims,13425098,WR/FLEX,3400,MIN@CHI 09/29/2019 04:25PM ET,CHI,1.6
DST,Bears  (13425429),Bears,13425429,DST,3400,MIN@CHI 09/29/2019 04:25PM ET,CHI,9.7
DST,Vikings  (13425430),Vikings,13425430,DST,3400,MIN@CHI 09/29/2019 04:25PM ET,MIN,6.6
TE,Hayden Hurst (13425282),Hayden Hurst,13425282,TE/FLEX,3300,CLE@BAL 09/29/2019 01:00PM ET,BAL,4.8
TE,T.J. Hockenson (13425278),T.J. Hockenson,13425278,TE/FLEX,3300,KC@DET 09/29/2019 01:00PM ET,DET,10.4
DST,Seahawks  (13425431),Seahawks,13425431,DST,3300,SEA@ARI 09/29/2019 04:05PM ET,SEA,7.9
RB,Mike Davis (13424856),Mike Davis,13424856,RB/FLEX,3300,MIN@CHI 09/29/2019 04:25PM ET,CHI,3.1
RB,Ryquell Armstead (13424858),Ryquell Armstead,13424858,RB/FLEX,3300,JAX@DEN 09/29/2019 04:25PM ET,JAX,0.2
WR,Tajae Sharpe (13425238),Tajae Sharpe,13425238,WR/FLEX,3200,TEN@ATL 09/29/2019 01:00PM ET,TEN,3.2
DST,Ravens  (13425432),Ravens,13425432,DST,3200,CLE@BAL 09/29/2019 01:00PM ET,BAL,7.8
RB,Jordan Wilkins (13424864),Jordan Wilkins,13424864,RB/FLEX,3200,OAK@IND 09/29/2019 01:00PM ET,IND,4.4
WR,Deon Cain (13425118),Deon Cain,13425118,WR/FLEX,3200,OAK@IND 09/29/2019 01:00PM ET,IND,8
WR,Darius Slayton (13425180),Darius Slayton,13425180,WR/FLEX,3200,WAS@NYG 09/29/2019 01:00PM ET,NYG,0.1
WR,KeeSean Johnson (13425116),KeeSean Johnson,13425116,WR/FLEX,3200,SEA@ARI 09/29/2019 04:05PM ET,ARI,7.6
WR,Breshad Perriman (13425114),Breshad Perriman,13425114,WR/FLEX,3200,TB@LAR 09/29/2019 04:05PM ET,TB,4.2
TE,Gerald Everett (13425286),Gerald Everett,13425286,TE/FLEX,3200,TB@LAR 09/29/2019 04:05PM ET,LAR,6.9
WR,Zay Jones (13425120),Zay Jones,13425120,WR/FLEX,3100,NE@BUF 09/29/2019 01:00PM ET,BUF,3.6
WR,Robert Foster (13425122),Robert Foster,13425122,WR/FLEX,3100,NE@BUF 09/29/2019 01:00PM ET,BUF,1.4
